price_in_rp,district,city,lat,long,facilities,property_type,ads_id,bedrooms,bathrooms,land_size_m2,building_size_m2,carports,certificate,electricity,maid_bedrooms,maid_bathrooms,floors,year_built,property_condition,building_orientation,garages,furnishing
1250000000.0,Graha Raya, Tangerang,-6.2327938,106.6804959,"Taman,  One Gate System, Keamanan 24 jam, Wastafel",rumah,hos11354407,3.0,1.0,120.0,100.0,1.0,shm - sertifikat hak milik,1300.0,1.0,1.0,1.0,2018.0,bagus,,0.0,unfurnished
1490000000.0,Graha Raya, Tangerang,-6.2327938,106.6804959," Keamanan, Jalur Telepon,  Kolam Ikan,  Kolam Renang, Wastafel, Taman,  Ac,  Track Lari, Keamanan 24 jam,  CCTV,  AC,  Lapangan Voli,  Jogging Track, Kolam Renang, Lapangan Tenis, Kitchen Set,  Masjid,  Playground, Masjid,  Taman, Lapangan Bola,  Tempat Gym, Tempat Jemuran,  Lapangan Bulu Tangkis,  Akses Parkir,  One Gate System,  Tempat Laundry,  Jalur Telepon,  Lapangan Basket",rumah,hos11358945,4.0,2.0,160.0,140.0,2.0,shm - sertifikat hak milik,3500.0,0.0,1.0,2.0,2016.0,bagus,,0.0,unfurnished
4890000000.0,Gading Serpong IL Lago, Tangerang,-6.2617616,106.555366," Ac,  Taman, Jogging Track, Keamanan,  CCTV,  Kolam Renang,  Jalur Telepon",rumah,hos10527703,3.0,3.0,180.0,257.0,2.0,,4400.0,1.0,1.0,2.0,2022.0,baru,timur,0.0,semi furnished
4890000000.0,Gading Serpong IL Lago, Tangerang,-6.2617616,106.555366," Keamanan, CCTV,  Taman, Ac,  Kolam Renang,  Jalur Telepon",rumah,hos10790528,3.0,3.0,180.0,217.0,2.0,,4400.0,1.0,1.0,2.0,,baru,timur laut,0.0,unfurnished
4500000000.0,Gading Serpong IL Lago, Tangerang,-6.2617616,106.555366," Keamanan, Kolam Renang,  Taman, Jogging Track, Tempat Jemuran, Jalur Telepon, Akses Parkir, Keamanan 24 jam, Track Lari,  Playground,  Kolam Renang,  One Gate System,  Jalur Telepon",rumah,hos11171513,4.0,3.0,180.0,164.0,2.0,"lainnya (ppjb,girik,adat,dll)",5500.0,1.0,1.0,2.0,2018.0,bagus,barat,1.0,unfurnished
3500000000.0,Gading Serpong IL Lago, Tangerang,-6.2617616,106.555366,"Taman,  Kolam Renang, Jogging Track,  Keamanan",rumah,hos10401298,4.0,3.0,170.0,181.0,2.0,,2200.0,1.0,1.0,2.0,2010.0,bagus,timur laut,0.0,unfurnished
1750000000.0,BSD Green Wich, Tangerang,-6.2761896,106.6298794," Taman, Keamanan,  Kolam Renang, Jogging Track",rumah,hos10276890,3.0,2.0,77.0,70.0,1.0,shm - sertifikat hak milik,2200.0,0.0,0.0,2.0,,bagus,,0.0,
2200000000.0,BSD Green Wich, Tangerang,-6.2761896,106.6298794," Ac,  Mesin Cuci, Kulkas,  Kitchen Set,  Keamanan,  Jogging Track,  Taman,  Pemanas Air, Tempat Jemuran, Jalur Telepon,  Kolam Ikan, Wastafel, Track Lari, Taman,  AC",rumah,hos11318985,3.0,4.0,60.0,120.0,2.0,"lainnya (ppjb,girik,adat,dll)",2200.0,1.0,0.0,3.0,2018.0,bagus,,0.0,furnished
2760000000.0,BSD Green Wich, Tangerang,-6.2761896,106.6298794," Taman, Tempat Jemuran, Jalur Telepon, Taman, Keamanan 24 jam,  CCTV, Track Lari,  Kolam Renang,  One Gate System, Tempat Gym,  Playground",rumah,hos11067729,4.0,3.0,72.0,165.0,2.0,shm - sertifikat hak milik,2200.0,1.0,1.0,3.0,,baru,,0.0,unfurnished
1750000000.0,BSD Green Wich, Tangerang,-6.2761896,106.6298794," Keamanan,  Jogging Track, Jalur Telepon, Track Lari,  Kolam Renang, Taman",rumah,hos11365235,3.0,2.0,77.0,70.0,1.0,"lainnya (ppjb,girik,adat,dll)",4400.0,0.0,0.0,2.0,,bagus,timur laut,0.0,unfurnished
